date,casecount
20200122,555
20200123,654
20200124,941
20200125,1434
20200126,2118
20200127,2927
20200128,5578
20200129,6167
20200130,8235
20200131,9927
20200201,12038
20200202,16787
20200203,19887
20200204,23898
20200205,27643
20200206,30803
20200207,34396
20200208,37130
20200209,40160
20200210,42769
20200211,44811
20200212,45229
20200213,60382
20200214,66909
20200215,69051
20200216,71235
20200217,73270
20200218,75152
20200219,75652
20200220,76212
20200221,76841
20200222,78602
20200223,78982
20200224,79546
20200225,80399
20200226,81376
20200227,82736
20200228,84121
20200229,86014
20200301,88397
20200302,90375
20200303,92959
20200304,95276
20200305,98040
20200306,102040
20200307,106102
20200308,110062
20200309,114025
20200310,119036
20200311,126717
20200312,132506
20200313,146887
20200314,157965
20200315,169258
20200316,184002
20200317,199932
20200318,219462
20200319,246618
20200320,277253
20200321,309223
20200322,343456
20200323,386823
20200324,428295
20200325,479279
20200326,542006
20200327,606988
20200328,674380
20200329,733777
20200330,799018
20200331,875842
20200401,952368
20200402,1033702
20200403,1116958
20200404,1197315
20200405,1269291
20200406,1342524
20200407,1420265
20200408,1504296
20200409,1590776
20200410,1678316
20200411,1754531
20200412,1849884
20200413,1920029
20200414,1991375
20200415,2073248
20200416,2170168
20200417,2257981
20200418,2331375
20200419,2411347
20200420,2485850
20200421,2561729
20200422,2639748
20200423,2727991
20200424,2812178
20200425,2895859
20200426,2968049
20200427,3037754
20200428,3113246
20200429,3190735
20200430,3274139
20200501,3361356
20200502,3441576
20200503,3518135
20200504,3595235
20200505,3675767
20200506,3765725
20200507,3854800
20200508,3946080
20200509,4031014
20200510,4106229
20200511,4183146
20200512,4267441
20200513,4352288
20200514,4449054
20200515,4545482
20200516,4639704
20200517,4717128
20200518,4805859
20200519,4903092
20200520,5005903
20200521,5112508
20200522,5218600
20200523,5323287
20200524,5417853
20200525,5504248
20200526,5597560
20200527,5700620
20200528,5820202
20200529,5941244
20200530,6078261
20200531,6184917
20200601,6280511
20200602,6401952
20200603,6520126
20200604,6647409
20200605,6778310
20200606,6913202
20200607,7025172
20200608,7127703
20200609,7252461
20200610,7387034
20200611,7525216
20200612,7653814
20200613,7789270
20200614,7922027
20200615,8041844
20200616,8183744
20200617,8326301
20200618,8466697
20200619,8646596
20200620,8803922
20200621,8932267
20200622,9070200
20200623,9235569
20200624,9406545
20200625,9584905
20200626,9776335
20200627,9954911
20200628,10116803
20200629,10273032
20200630,10447289
20200701,10664533
20200702,10872669
20200703,11075391
20200704,11269302
20200705,11452292
20200706,11617941
20200707,11828915
20200708,12041312
20200709,12269423
20200710,12501740
20200711,12718142
20200712,12910765
20200713,13103070
20200714,13324389
20200715,13555611
20200716,13808279
20200717,14050533
20200718,14287418
20200719,14501583
20200720,14708250
20200721,14941878
20200722,15222711
20200723,15505806
20200724,15786391
20200725,16042089
20200726,16255260
20200727,16481553
20200728,16733998
20200729,17023686
20200730,17304066
20200731,17594163
20200801,17844596
20200802,18073489
20200803,18275011
20200804,18533677
20200805,18805749
20200806,19090844
20200807,19371914
20200808,19631160
20200809,19854598
20200810,20082310
20200811,20337232
20200812,20615100
20200813,20901479
20200814,21206137
20200815,21454001
20200816,21665916
20200817,21875838
20200818,22132337
20200819,22406764
20200820,22673939
20200821,22944256
20200822,23209579
20200823,23415376
20200824,23641687
20200825,23883773
20200826,24172616
20200827,24451719
20200828,24733263
20200829,24994138
20200830,25220408
20200831,25482822
20200901,25746973
20200902,26029674
20200903,26310532
20200904,26623252
20200905,26886427
20200906,27108461
20200907,27342175
20200908,27575506
20200909,27867793
20200910,28167019
20200911,28486877
20200912,28764152
20200913,29000205
20200914,29279898
20200915,29563691
20200916,29868540
20200917,30182274
20200918,30505689
20200919,30786774
20200920,31027510
20200921,31326812
20200922,31605997
20200923,31873009
20200924,32233965
20200925,32564294
20200926,32841726
20200927,33078941
20200928,33355107
20200929,33642960
20200930,33968093
20201001,34287271
20201002,34582698
20201003,34902647
20201004,35079152